,A2,A3,A4,A5
0,15.38,9.37,7.44,14.49
1,15.38,9.37,7.44,14.49
2,15.38,9.37,7.44,14.49
3,15.38,9.37,7.44,14.49
4,15.37,9.35,7.43,14.49
5,15.37,9.35,7.43,14.49
6,15.37,9.35,7.43,14.49
7,15.37,9.35,7.43,14.49
8,15.38,9.35,7.41,14.5
9,15.38,9.35,7.41,14.5
10,15.38,9.35,7.41,14.5
11,15.38,9.35,7.41,14.5
12,15.38,9.33,7.43,14.47
13,15.38,9.33,7.43,14.47
14,15.38,9.33,7.43,14.47
15,15.38,9.33,7.43,14.47
16,15.38,9.33,7.42,14.47
17,15.38,9.33,7.42,14.47
18,15.38,9.33,7.42,14.47
19,15.38,9.33,7.42,14.47
20,15.38,9.33,7.42,14.46
21,15.38,9.33,7.42,14.46
22,15.38,9.33,7.42,14.46
23,15.37,9.32,7.45,14.48
24,15.37,9.32,7.45,14.48
25,15.37,9.32,7.45,14.48
26,15.38,9.31,7.44,14.5
27,15.38,9.31,7.44,14.5
28,15.38,9.31,7.44,14.5
29,15.38,9.31,7.44,14.5
30,15.37,9.33,7.42,14.5
31,15.37,9.33,7.42,14.5
32,15.37,9.33,7.42,14.5
33,15.37,9.33,7.42,14.5
34,15.37,9.31,7.42,14.48
35,15.37,9.31,7.42,14.48
36,15.37,9.31,7.42,14.48
37,15.37,9.31,7.42,14.48
38,15.4,9.35,7.43,14.5
39,15.4,9.35,7.43,14.5
40,15.4,9.35,7.43,14.5
41,15.4,9.35,7.43,14.5
42,15.39,9.33,7.43,14.48
43,15.39,9.33,7.43,14.48
44,15.39,9.33,7.43,14.48
45,15.38,9.35,7.43,14.49
46,15.38,9.35,7.43,14.49
47,15.38,9.35,7.43,14.49
48,15.38,9.35,7.43,14.49
49,15.36,9.34,7.43,14.49
50,15.36,9.34,7.43,14.49
51,15.36,9.34,7.43,14.49
52,15.38,9.32,7.45,14.48
53,15.38,9.32,7.45,14.48
54,15.38,9.32,7.45,14.48
55,15.38,9.32,7.45,14.48
56,15.38,9.32,7.45,14.48
57,15.38,9.32,7.45,14.48
58,15.38,9.32,7.45,14.48
59,15.38,9.32,7.45,14.48
60,15.39,9.35,7.45,14.49
61,15.39,9.35,7.45,14.49
62,15.39,9.35,7.45,14.49
63,15.39,9.35,7.45,14.49
64,15.39,9.35,7.45,14.49
65,15.38,9.36,7.45,14.48
66,15.38,9.36,7.45,14.48
67,15.38,9.36,7.45,14.48
68,15.38,9.36,7.45,14.48
69,15.39,9.35,7.45,14.49
70,15.39,9.35,7.45,14.49
71,15.37,9.34,7.43,14.49
72,15.37,9.34,7.43,14.49
73,15.37,9.34,7.43,14.49
74,15.37,9.34,7.43,14.49
75,15.37,9.34,7.43,14.49
76,15.38,9.38,7.46,14.47
77,15.38,9.38,7.46,14.47
78,15.38,9.38,7.46,14.47
79,15.38,9.38,7.46,14.47
80,15.37,9.34,7.45,14.46
81,15.37,9.34,7.45,14.46
82,15.37,9.34,7.45,14.46
83,15.37,9.34,7.45,14.46
84,15.39,9.35,7.43,14.48
85,15.39,9.35,7.43,14.48
86,15.39,9.35,7.43,14.48
87,15.38,9.34,7.46,14.49
88,15.38,9.34,7.46,14.49
89,15.38,9.34,7.46,14.49
90,15.38,9.34,7.46,14.49
91,15.39,9.36,7.46,14.51
92,15.39,9.36,7.46,14.51
93,15.39,9.36,7.46,14.51
94,15.39,9.36,7.46,14.51
95,15.37,9.34,7.43,14.48
96,15.37,9.34,7.43,14.48
97,15.37,9.34,7.43,14.48
98,15.37,9.34,7.43,14.48
99,15.39,9.31,7.42,14.48
100,15.39,9.31,7.42,14.48
101,15.39,9.31,7.42,14.48
102,15.39,9.31,7.42,14.48
103,15.39,9.31,7.42,14.48
104,15.39,9.31,7.42,14.48
105,15.39,9.31,7.42,14.48
106,15.39,9.31,7.42,14.48
107,15.39,9.31,7.42,14.48
108,15.39,9.31,7.42,14.48
109,15.39,9.31,7.42,14.48
110,15.39,9.34,7.44,14.49
111,15.39,9.34,7.44,14.49
112,15.39,9.34,7.44,14.49
113,15.39,9.34,7.44,14.49
114,15.39,9.31,7.44,14.5
115,15.39,9.31,7.44,14.5
116,15.39,9.31,7.44,14.5
117,15.39,9.31,7.44,14.5
118,15.38,9.31,7.43,14.49
119,15.38,9.31,7.43,14.49
120,15.38,9.31,7.43,14.49
121,15.38,9.31,7.43,14.49
122,15.37,9.35,7.45,14.49
123,15.37,9.35,7.45,14.49
124,15.37,9.35,7.45,14.49
125,15.38,9.32,7.43,14.47
126,15.38,9.32,7.43,14.47
127,15.38,9.32,7.43,14.47
128,15.38,9.32,7.43,14.47
129,15.38,9.34,7.42,14.47
130,15.38,9.34,7.42,14.47
131,15.38,9.34,7.42,14.47
132,15.38,9.34,7.42,14.47
133,15.38,9.34,7.42,14.47
134,15.39,9.33,7.44,14.49
135,15.39,9.33,7.44,14.49
136,15.39,9.33,7.44,14.49
137,15.39,9.33,7.44,14.49
138,15.37,9.33,7.44,14.48
139,15.37,9.33,7.44,14.48
140,15.37,9.33,7.44,14.48
141,15.39,9.34,7.46,14.47
142,15.39,9.34,7.46,14.47
143,15.39,9.34,7.46,14.47
144,15.39,9.34,7.46,14.47
145,15.4,9.36,7.44,14.46
146,15.4,9.36,7.44,14.46
147,15.4,9.36,7.44,14.46
148,15.4,9.36,7.44,14.46
149,15.38,9.35,7.45,14.5
150,15.38,9.35,7.45,14.5
151,15.38,9.35,7.45,14.5
152,15.41,9.35,7.45,14.47
153,15.41,9.35,7.45,14.47
154,15.41,9.35,7.45,14.47
155,15.41,9.35,7.45,14.47
156,15.37,9.32,7.46,14.49
157,15.37,9.32,7.46,14.49
158,15.37,9.32,7.46,14.49
159,15.39,9.34,7.45,14.46
160,15.39,9.34,7.45,14.46
161,15.39,9.34,7.45,14.46
162,15.39,9.34,7.45,14.46
163,15.38,9.35,7.44,14.51
164,15.38,9.35,7.44,14.51
165,15.38,9.35,7.44,14.51
166,15.38,9.35,7.44,14.51
167,15.4,9.33,7.45,14.49
168,15.4,9.33,7.45,14.49
169,15.4,9.33,7.45,14.49
170,15.39,9.35,7.44,14.46
171,15.39,9.35,7.44,14.46
172,15.39,9.35,7.44,14.46
173,15.39,9.35,7.44,14.46
174,15.37,9.34,7.44,14.46
175,15.37,9.34,7.44,14.46
176,15.37,9.34,7.44,14.46
177,15.39,9.36,7.42,14.5
178,15.39,9.36,7.42,14.5
179,15.39,9.36,7.42,14.5
180,15.39,9.36,7.42,14.5
181,15.38,9.34,7.44,14.51
182,15.38,9.34,7.44,14.51
183,15.38,9.34,7.44,14.51
184,15.38,9.34,7.44,14.51
185,15.39,9.31,7.45,14.5
186,15.39,9.31,7.45,14.5
187,15.39,9.31,7.45,14.5
188,15.39,9.31,7.45,14.5
189,15.41,9.34,7.44,14.5
190,15.41,9.34,7.44,14.5
191,15.41,9.34,7.44,14.5
192,15.41,9.34,7.44,14.5
193,15.42,9.36,7.42,14.47
194,15.42,9.36,7.42,14.47
195,15.42,9.36,7.42,14.47
196,15.42,9.36,7.42,14.47
197,15.41,9.34,7.45,14.5
198,15.41,9.34,7.45,14.5
199,15.41,9.34,7.45,14.5
200,15.42,9.33,7.43,14.48
201,15.42,9.33,7.43,14.48
202,15.42,9.33,7.43,14.48
203,15.42,9.33,7.43,14.48
204,15.41,9.34,7.45,14.48
205,15.41,9.34,7.45,14.48
206,15.41,9.34,7.45,14.48
207,15.41,9.34,7.45,14.48
208,15.42,9.34,7.44,14.47
209,15.42,9.34,7.44,14.47
210,15.42,9.34,7.44,14.47
211,15.44,9.35,7.44,14.49
212,15.44,9.35,7.44,14.49
213,15.44,9.35,7.44,14.49
214,15.44,9.35,7.44,14.49
215,15.38,9.35,7.44,14.48
216,15.38,9.35,7.44,14.48
217,15.38,9.35,7.44,14.48
218,15.38,9.35,7.44,14.48
219,15.41,9.33,7.42,14.47
220,15.41,9.33,7.42,14.47
221,15.41,9.33,7.42,14.47
222,15.41,9.33,7.42,14.47
223,15.41,9.33,7.42,14.47
224,15.46,9.34,7.42,14.48
225,15.46,9.34,7.42,14.48
226,15.46,9.34,7.42,14.48
227,15.42,9.33,7.41,14.47
228,15.42,9.33,7.41,14.47
229,15.42,9.33,7.41,14.47
230,15.42,9.33,7.41,14.47
231,15.42,9.32,7.42,14.5
232,15.42,9.32,7.42,14.5
233,15.42,9.32,7.42,14.5
234,15.42,9.32,7.42,14.5
235,15.44,9.31,7.42,14.51
236,15.44,9.31,7.42,14.51
237,15.44,9.31,7.42,14.51
238,15.44,9.31,7.42,14.51
239,15.41,9.33,7.4,14.5
240,15.41,9.33,7.4,14.5
241,15.41,9.33,7.4,14.5
242,15.41,9.33,7.4,14.5
243,15.41,9.36,7.43,14.49
244,15.41,9.36,7.43,14.49
245,15.41,9.36,7.43,14.49
246,15.42,9.32,7.41,14.48
247,15.42,9.32,7.41,14.48
248,15.42,9.32,7.41,14.48
249,15.42,9.32,7.41,14.48
250,15.41,9.32,7.45,14.48
251,15.41,9.32,7.45,14.48
252,15.41,9.32,7.45,14.48
253,15.4,9.32,7.45,14.48
254,15.4,9.32,7.45,14.48
255,15.4,9.32,7.45,14.48
256,15.4,9.32,7.45,14.48
257,15.38,9.34,7.45,14.48
258,15.38,9.34,7.45,14.48
259,15.38,9.34,7.45,14.48
260,15.39,9.34,7.43,14.49
261,15.39,9.34,7.43,14.49
262,15.39,9.34,7.43,14.49
263,15.39,9.34,7.43,14.49
264,15.44,9.34,7.43,14.49
265,15.44,9.34,7.43,14.49
266,15.44,9.34,7.43,14.49
267,15.44,9.34,7.43,14.49
268,15.39,9.31,7.44,14.47
269,15.39,9.31,7.44,14.47
270,15.39,9.31,7.44,14.47
271,15.39,9.31,7.44,14.47
272,15.4,9.36,7.43,14.48
273,15.4,9.36,7.43,14.48
274,15.4,9.36,7.43,14.48
275,15.39,9.33,7.44,14.48
276,15.39,9.33,7.44,14.48
277,15.39,9.33,7.44,14.48
278,15.39,9.33,7.44,14.48
279,15.41,9.32,7.41,14.48
280,15.41,9.32,7.41,14.48
281,15.41,9.32,7.41,14.48
282,15.41,9.32,7.41,14.48
283,15.39,9.36,7.42,14.49
284,15.39,9.36,7.42,14.49
285,15.39,9.36,7.42,14.49
286,15.39,9.36,7.42,14.49
287,15.4,9.33,7.43,14.49
288,15.4,9.33,7.43,14.49
289,15.4,9.33,7.43,14.49
290,15.4,9.33,7.43,14.49
291,15.42,9.32,7.43,14.49
292,15.42,9.32,7.43,14.49
293,15.42,9.32,7.43,14.49
294,15.42,9.31,7.44,14.47
295,15.42,9.31,7.44,14.47
296,15.42,9.31,7.44,14.47
297,15.42,9.31,7.44,14.47
298,15.39,9.31,7.44,14.49
299,15.39,9.31,7.44,14.49
300,15.39,9.31,7.44,14.49
301,15.39,9.34,7.45,14.48
302,15.39,9.34,7.45,14.48
303,15.39,9.34,7.45,14.48
304,15.4,9.35,7.42,14.47
305,15.4,9.35,7.42,14.47
306,15.4,9.35,7.42,14.47
307,15.4,9.35,7.42,14.47
308,15.45,9.33,7.42,14.5
309,15.45,9.33,7.42,14.5
310,15.45,9.33,7.42,14.5
311,15.45,9.33,7.42,14.5
312,15.39,9.33,7.43,14.48
313,15.39,9.33,7.43,14.48
314,15.39,9.33,7.43,14.48
315,15.38,9.31,7.44,14.47
316,15.38,9.31,7.44,14.47
317,15.38,9.31,7.44,14.47
318,15.38,9.31,7.44,14.47
319,15.43,9.34,7.44,14.49
320,15.43,9.34,7.44,14.49
321,15.43,9.34,7.44,14.49
322,15.43,9.34,7.44,14.49
323,15.42,9.31,7.43,14.5
324,15.42,9.31,7.43,14.5
325,15.42,9.31,7.43,14.5
326,15.37,9.3,7.42,14.48
327,15.37,9.3,7.42,14.48
328,15.37,9.3,7.42,14.48
329,15.37,9.3,7.42,14.48
330,15.37,9.3,7.42,14.48
331,15.37,9.3,7.42,14.48
332,15.41,9.33,7.42,14.47
333,15.41,9.33,7.42,14.47
334,15.41,9.33,7.42,14.47
335,15.41,9.33,7.42,14.47
336,15.41,9.33,7.42,14.47
337,15.41,9.33,7.42,14.47
338,15.41,9.33,7.42,14.47
339,15.41,9.33,7.42,14.47
340,15.41,9.33,7.42,14.47
341,15.41,9.33,7.42,14.47
342,15.41,9.33,7.42,14.47
343,15.41,9.33,7.42,14.47
344,15.41,9.33,7.42,14.47
345,15.41,9.33,7.42,14.47
346,15.41,9.33,7.42,14.47
347,15.41,9.33,7.42,14.47
348,15.45,9.32,7.44,14.47
349,15.45,9.32,7.44,14.47
350,15.43,9.33,7.42,14.47
351,15.43,9.33,7.42,14.47
352,15.43,9.33,7.42,14.47
353,15.43,9.33,7.42,14.47
354,15.45,9.34,7.43,14.48
355,15.45,9.34,7.43,14.48
356,15.45,9.34,7.43,14.48
357,15.45,9.34,7.43,14.48
358,15.43,9.33,7.43,14.47
359,15.43,9.33,7.43,14.47
360,15.43,9.33,7.43,14.47
361,15.42,9.33,7.44,14.49
362,15.42,9.33,7.44,14.49
363,15.42,9.33,7.44,14.49
364,15.42,9.33,7.44,14.49
365,15.44,9.33,7.43,14.47
366,15.44,9.33,7.43,14.47
367,15.44,9.33,7.43,14.47
368,15.44,9.33,7.43,14.47
369,15.45,9.34,7.43,14.5
370,15.45,9.34,7.43,14.5
371,15.45,9.34,7.43,14.5
372,15.49,9.36,7.41,14.49
373,15.49,9.36,7.41,14.49
374,15.49,9.36,7.41,14.49
375,15.44,9.33,7.43,14.46
376,15.44,9.33,7.43,14.46
377,15.44,9.33,7.43,14.46
378,15.44,9.33,7.43,14.46
379,15.47,9.32,7.42,14.48
380,15.47,9.32,7.42,14.48
381,15.47,9.32,7.42,14.48
382,15.49,9.35,7.44,14.53
383,15.49,9.35,7.44,14.53
384,15.49,9.35,7.44,14.53
385,15.49,9.35,7.44,14.53
386,15.44,9.32,7.43,14.47
387,15.44,9.32,7.43,14.47
388,15.44,9.32,7.43,14.47
389,15.44,9.32,7.43,14.47
390,15.42,9.34,7.42,14.49
391,15.42,9.34,7.42,14.49
392,15.42,9.34,7.42,14.49
393,15.44,9.33,7.42,14.47
394,15.44,9.33,7.42,14.47
395,15.44,9.33,7.42,14.47
396,15.44,9.33,7.42,14.47
397,15.43,9.34,7.43,14.48
398,15.43,9.34,7.43,14.48
399,15.43,9.34,7.43,14.48
400,15.39,9.31,7.44,14.48
401,15.39,9.31,7.44,14.48
402,15.39,9.31,7.44,14.48
403,15.39,9.31,7.44,14.48
404,15.39,9.31,7.44,14.48
