,A2,A3,A4,A5
0,2.91,22.21,22.14,2.27
1,2.91,22.21,22.14,2.27
2,2.91,22.21,22.14,2.27
3,2.91,22.21,22.14,2.27
4,2.91,22.21,22.14,2.27
5,2.91,22.21,22.14,2.27
6,2.91,22.21,22.14,2.27
7,2.91,22.21,22.14,2.27
8,2.91,22.21,22.14,2.27
9,2.91,22.21,22.14,2.27
10,2.93,22.21,22.13,2.3
11,2.93,22.21,22.13,2.3
12,2.93,22.21,22.13,2.3
13,2.93,22.21,22.13,2.3
14,2.93,22.21,22.13,2.3
15,2.93,22.21,22.13,2.3
16,2.93,22.21,22.13,2.3
17,2.93,22.22,22.12,2.27
18,2.93,22.22,22.12,2.27
19,2.93,22.22,22.12,2.27
20,2.93,22.22,22.12,2.27
21,2.93,22.22,22.12,2.27
22,2.93,22.22,22.12,2.27
23,2.93,22.22,22.12,2.27
24,2.93,22.21,22.13,2.27
25,2.93,22.21,22.13,2.27
26,2.93,22.21,22.13,2.27
27,2.93,22.21,22.13,2.27
28,2.93,22.21,22.13,2.27
29,2.93,22.21,22.13,2.27
30,2.92,22.21,22.14,2.28
31,2.92,22.21,22.14,2.28
32,2.92,22.21,22.14,2.28
33,2.92,22.21,22.14,2.28
34,2.92,22.21,22.14,2.28
35,2.92,22.21,22.14,2.28
36,2.92,22.21,22.14,2.28
37,2.91,22.25,22.15,2.28
38,2.91,22.25,22.15,2.28
39,2.91,22.25,22.15,2.28
40,2.91,22.25,22.15,2.28
41,2.91,22.25,22.15,2.28
42,2.91,22.25,22.15,2.28
43,2.91,22.25,22.15,2.28
44,2.91,22.23,22.14,2.27
45,2.91,22.23,22.14,2.27
46,2.91,22.23,22.14,2.27
47,2.91,22.23,22.14,2.27
48,2.91,22.23,22.14,2.27
49,2.91,22.23,22.14,2.27
50,2.93,22.22,22.15,2.28
51,2.93,22.22,22.15,2.28
52,2.93,22.22,22.15,2.28
53,2.93,22.22,22.15,2.28
54,2.93,22.22,22.15,2.28
55,2.93,22.22,22.15,2.28
56,2.9,22.21,22.12,2.27
57,2.9,22.21,22.12,2.27
58,2.9,22.21,22.12,2.27
59,2.9,22.21,22.12,2.27
60,2.9,22.21,22.12,2.27
61,2.9,22.21,22.12,2.27
62,2.9,22.21,22.12,2.27
63,2.9,22.18,22.14,2.27
64,2.9,22.18,22.14,2.27
65,2.9,22.18,22.14,2.27
66,2.9,22.18,22.14,2.27
67,2.9,22.18,22.14,2.27
68,2.9,22.18,22.14,2.27
69,2.9,22.18,22.14,2.27
70,2.92,22.22,22.14,2.27
71,2.92,22.22,22.14,2.27
72,2.92,22.22,22.14,2.27
73,2.92,22.22,22.14,2.27
74,2.92,22.22,22.14,2.27
75,2.92,22.22,22.14,2.27
76,2.92,22.25,22.14,2.3
77,2.92,22.25,22.14,2.3
78,2.92,22.25,22.14,2.3
79,2.92,22.25,22.14,2.3
80,2.92,22.25,22.14,2.3
81,2.92,22.25,22.14,2.3
82,2.92,22.25,22.14,2.3
83,2.92,22.2,22.15,2.3
84,2.92,22.2,22.15,2.3
85,2.92,22.2,22.15,2.3
86,2.92,22.2,22.15,2.3
87,2.92,22.2,22.15,2.3
88,2.92,22.2,22.15,2.3
89,2.92,22.2,22.15,2.3
90,2.93,22.24,22.14,2.28
91,2.93,22.24,22.14,2.28
92,2.93,22.24,22.14,2.28
93,2.93,22.24,22.14,2.28
94,2.93,22.24,22.14,2.28
95,2.93,22.24,22.14,2.28
96,2.92,22.23,22.15,2.27
97,2.92,22.23,22.15,2.27
98,2.92,22.23,22.15,2.27
99,2.92,22.23,22.15,2.27
100,2.92,22.23,22.15,2.27
101,2.92,22.23,22.15,2.27
102,2.92,22.21,22.14,2.27
