,time,lat,lon,alt
0,1688374158.245495,19.0177854,130.54182,14999.0
1,1688374158.5029128,19.0177854,130.54182,14999.0
2,1688374158.7607179,19.0177854,130.54182,14999.0
3,1688374158.9588153,19.01780445,130.54193369,15000.0
4,1688374159.2100081,19.01780445,130.54193369,15000.0
5,1688374159.525996,19.01780445,130.54193369,15000.0
6,1688374159.7238905,19.0178038,130.54193358,15000.0
7,1688374159.9755397,19.0178038,130.54193358,15000.0
8,1688374160.226593,19.0178038,130.54193358,15000.0
9,1688374160.47358,19.0178038,130.54193358,15000.0
10,1688374160.720671,19.01780396,130.5419336,15000.0
11,1688374160.9716885,19.01780396,130.5419336,15000.0
12,1688374161.2227445,19.01780396,130.5419336,15000.0
13,1688374161.470373,19.01780396,130.5419336,15000.0
14,1688374161.7277856,19.01780339,130.54193369,15000.0
15,1688374162.0423865,19.01780339,130.54193369,15000.0
16,1688374162.294633,19.01780339,130.54193369,15000.0
17,1688374162.491554,19.01780416,130.54193356,15000.0
18,1688374162.6889307,19.01780416,130.54193356,15000.0
19,1688374162.9403725,19.01780416,130.54193356,15000.0
20,1688374163.2562482,19.01780416,130.54193356,15000.0
21,1688374163.4542425,19.01780403,130.54193348,15000.0
22,1688374163.715813,19.01780403,130.54193348,15000.0
23,1688374163.981016,19.01780403,130.54193348,15000.0
24,1688374164.2581785,19.01780403,130.54193348,15000.0
25,1688374164.7570505,19.01780403,130.54193348,15000.0
26,1688374165.0066655,19.01780403,130.54193348,15000.0
27,1688374165.2209492,19.01780382,130.54193367,15000.0
28,1688374165.487947,19.01780382,130.54193367,15000.0
29,1688374165.75739,19.01780382,130.54193367,15000.0
30,1688374166.098002,19.01780382,130.54193367,15000.0
31,1688374166.3849401,19.01780382,130.54193367,15000.0
32,1688374166.6664453,19.01780382,130.54193367,15000.0
33,1688374166.8617544,19.01780425,130.54193365,15000.0
34,1688374167.107497,19.01780425,130.54193365,15000.0
35,1688374167.4163744,19.01780425,130.54193365,15000.0
36,1688374167.6669168,19.01780425,130.54193365,15000.0
37,1688374167.8646355,19.01780497,130.54193374,15000.0
38,1688374168.115384,19.01780497,130.54193374,15000.0
39,1688374168.366198,19.01780497,130.54193374,15000.0
40,1688374168.6096418,19.0178038,130.54193358,15000.0
41,1688374168.8637092,19.0178038,130.54193358,15000.0
42,1688374169.1204677,19.0178038,130.54193358,15000.0
43,1688374169.3729806,19.0178038,130.54193358,15000.0
44,1688374169.5720148,19.01780355,130.54193365,15000.0
45,1688374169.8461552,19.01780355,130.54193365,15000.0
46,1688374170.0973005,19.01780355,130.54193365,15000.0
47,1688374170.3453648,19.01780355,130.54193365,15000.0
48,1688374170.5413435,19.01780421,130.54193353,15000.0
49,1688374170.7921696,19.01780421,130.54193353,15000.0
50,1688374171.2764564,19.01780421,130.54193353,15000.0
51,1688374171.4766672,19.01780441,130.54193368,15000.0
52,1688374171.7281525,19.01780441,130.54193368,15000.0
53,1688374171.9790552,19.01780441,130.54193368,15000.0
54,1688374172.230627,19.01780441,130.54193368,15000.0
55,1688374172.4774065,19.01780435,130.54193351,15000.0
56,1688374172.7240798,19.01780435,130.54193351,15000.0
57,1688374173.001226,19.01780435,130.54193351,15000.0
58,1688374173.2684999,19.01780435,130.54193351,15000.0
59,1688374173.5389953,19.01780435,130.54193351,15000.0
60,1688374173.8241787,19.01780372,130.54193369,15000.0
61,1688374174.0805478,19.01780372,130.54193369,15000.0
62,1688374174.3496385,19.01780372,130.54193369,15000.0
63,1688374174.6143506,19.01780372,130.54193369,15000.0
64,1688374174.8885584,19.01780372,130.54193369,15000.0
65,1688374175.2305388,19.01780372,130.54193369,15000.0
66,1688374175.5076487,19.01780372,130.54193369,15000.0
67,1688374175.7731543,19.01780401,130.54193348,15000.0
68,1688374176.024182,19.01780401,130.54193348,15000.0
69,1688374176.2787404,19.01780401,130.54193348,15000.0
70,1688374176.551612,19.0178044,130.54193358,15000.0
71,1688374176.7823,19.0178044,130.54193358,15000.0
72,1688374177.029015,19.0178044,130.54193358,15000.0
73,1688374177.2748466,19.0178044,130.54193358,15000.0
74,1688374177.47357,19.01780392,130.54193367,15000.0
75,1688374177.9565778,19.01780392,130.54193367,15000.0
76,1688374178.2080188,19.01780392,130.54193367,15000.0
77,1688374178.4081867,19.01780386,130.54193376,15000.0
78,1688374178.6070454,19.01780386,130.54193376,15000.0
79,1688374178.8675554,19.01780386,130.54193376,15000.0
80,1688374179.1994858,19.01780386,130.54193376,15000.0
81,1688374179.4693248,19.01780386,130.54193376,15000.0
82,1688374179.7416692,19.01780386,130.54193376,15000.0
83,1688374180.000056,19.01780386,130.54193376,15000.0
84,1688374180.2074027,19.01780456,130.54193354,15000.0
85,1688374180.5441685,19.01780456,130.54193354,15000.0
86,1688374180.80211,19.01780456,130.54193354,15000.0
87,1688374181.0786796,19.01780456,130.54193354,15000.0
88,1688374181.3472896,19.01780456,130.54193354,15000.0
89,1688374181.6146903,19.01780456,130.54193354,15000.0
90,1688374181.8952796,19.01780454,130.54193381,15000.0
91,1688374182.1591465,19.01780454,130.54193381,15000.0
92,1688374182.4098911,19.01780454,130.54193381,15000.0
93,1688374182.660684,19.01780454,130.54193381,15000.0
94,1688374182.8593502,19.0178037,130.5419336,15000.0
95,1688374183.1736376,19.0178037,130.5419336,15000.0
96,1688374183.424575,19.0178037,130.5419336,15000.0
97,1688374183.675872,19.0178037,130.5419336,15000.0
98,1688374183.8715713,19.01780411,130.54193363,15000.0
99,1688374184.067425,19.01780411,130.54193363,15000.0
