,time,lat,lon,alt
0,1688374712.1531217,19.0177854,130.54182,14999.0
1,1688374712.4006186,19.0177854,130.54182,14999.0
2,1688374712.6454434,19.0177854,130.54182,14999.0
3,1688374712.856145,19.01778555,130.54195506,30503.0
4,1688374713.1205692,19.01778555,130.54195506,30503.0
5,1688374713.4515915,19.01778555,130.54195506,30503.0
6,1688374713.7168612,19.01778555,130.54195506,30503.0
7,1688374713.993148,19.01778555,130.54195506,30503.0
8,1688374714.2633219,19.01778555,130.54195506,30503.0
9,1688374714.478018,19.01778403,130.54195468,28628.0
10,1688374714.8122814,19.01778403,130.54195468,28628.0
11,1688374715.0721345,19.01778403,130.54195468,28628.0
12,1688374715.3406668,19.01778403,130.54195468,28628.0
13,1688374715.6089106,19.01778403,130.54195468,28628.0
14,1688374715.8730228,19.01778403,130.54195468,28628.0
15,1688374716.1518261,19.01778488,130.54195485,29469.0
16,1688374716.3978653,19.01778488,130.54195485,29469.0
17,1688374716.6485462,19.01778488,130.54195485,29469.0
18,1688374716.8947628,19.01778488,130.54195485,29469.0
19,1688374717.0925918,19.01778413,130.54195481,28860.0
20,1688374717.407809,19.01778413,130.54195481,28860.0
21,1688374717.6538296,19.01778413,130.54195481,28860.0
22,1688374717.903605,19.01778413,130.54195481,28860.0
23,1688374718.100086,19.01778381,130.54195483,28749.0
24,1688374718.3459306,19.01778381,130.54195483,28749.0
25,1688374718.8475266,19.01778381,130.54195483,28749.0
26,1688374719.1067345,19.01778381,130.54195483,28749.0
27,1688374719.3158684,19.01778456,130.54195496,29355.0
28,1688374719.5697107,19.01778456,130.54195496,29355.0
29,1688374719.854539,19.01778456,130.54195496,29355.0
30,1688374720.1822817,19.01778456,130.54195496,29355.0
31,1688374720.4474308,19.01778456,130.54195496,29355.0
32,1688374720.7169008,19.01778456,130.54195496,29355.0
33,1688374720.971438,19.01778456,130.54195496,29355.0
34,1688374721.180634,19.01778467,130.54195496,29434.0
35,1688374721.4915395,19.01778467,130.54195496,29434.0
36,1688374721.759832,19.01778467,130.54195496,29434.0
37,1688374722.0108578,19.01778467,130.54195496,29434.0
38,1688374722.2565122,19.01778467,130.54195496,29434.0
39,1688374722.5077882,19.0177847,130.54195484,29014.0
40,1688374722.8211799,19.0177847,130.54195484,29014.0
41,1688374723.0723224,19.0177847,130.54195484,29014.0
42,1688374723.268122,19.01778325,130.54195455,27566.0
43,1688374723.5208435,19.01778325,130.54195455,27566.0
44,1688374723.7889304,19.01778325,130.54195455,27566.0
45,1688374724.1219313,19.01778325,130.54195455,27566.0
46,1688374724.380926,19.01778325,130.54195455,27566.0
47,1688374724.5897355,19.0177846,130.54195501,29612.0
48,1688374724.842233,19.0177846,130.54195501,29612.0
49,1688374725.115157,19.0177846,130.54195501,29612.0
50,1688374725.5907757,19.0177846,130.54195501,29612.0
51,1688374725.8541586,19.0177846,130.54195501,29612.0
52,1688374726.12246,19.0177846,130.54195501,29612.0
53,1688374726.3308582,19.01778436,130.54195481,28885.0
54,1688374726.6017842,19.01778436,130.54195481,28885.0
55,1688374726.9340343,19.01778436,130.54195481,28885.0
56,1688374727.1845381,19.01778436,130.54195481,28885.0
57,1688374727.461835,19.01778436,130.54195481,28885.0
58,1688374727.7270353,19.01778436,130.54195481,28885.0
59,1688374727.936775,19.01778505,130.54195496,29673.0
60,1688374728.2698624,19.01778505,130.54195496,29673.0
61,1688374728.542837,19.01778505,130.54195496,29673.0
62,1688374728.7691598,19.01778505,130.54195496,29673.0
63,1688374729.0190697,19.01778505,130.54195496,29673.0
64,1688374729.2872334,19.01778505,130.54195496,29673.0
65,1688374729.5676339,19.01778588,130.54195501,30609.0
66,1688374729.8370292,19.01778588,130.54195501,30609.0
67,1688374730.085378,19.01778588,130.54195501,30609.0
68,1688374730.3571699,19.01778588,130.54195501,30609.0
69,1688374730.6182938,19.01778588,130.54195501,30609.0
70,1688374730.902866,19.01778532,130.5419551,29932.0
71,1688374731.1014209,19.01778532,130.5419551,29932.0
72,1688374731.3520458,19.01778532,130.5419551,29932.0
73,1688374731.5974998,19.01778532,130.5419551,29932.0
74,1688374731.8606691,19.01778532,130.5419551,29932.0
75,1688374732.291484,19.01778527,130.54195506,29990.0
76,1688374732.5442755,19.01778527,130.54195506,29990.0
77,1688374732.8084168,19.01778527,130.54195506,29990.0
78,1688374733.0710258,19.01778527,130.54195506,29990.0
79,1688374733.3345103,19.01778527,130.54195506,29990.0
80,1688374733.6584852,19.01778527,130.54195506,29990.0
81,1688374733.8677933,19.01778424,130.54195481,28941.0
82,1688374734.148498,19.01778424,130.54195481,28941.0
83,1688374734.416469,19.01778424,130.54195481,28941.0
84,1688374734.6916695,19.01778424,130.54195481,28941.0
85,1688374735.0155847,19.01778424,130.54195481,28941.0
86,1688374735.2720926,19.01778424,130.54195481,28941.0
87,1688374735.4707136,19.01778462,130.54195498,29317.0
88,1688374735.665226,19.01778462,130.54195498,29317.0
89,1688374735.8602855,19.01778462,130.54195498,29317.0
90,1688374736.1153588,19.01778462,130.54195498,29317.0
91,1688374736.3838236,19.01778462,130.54195498,29317.0
92,1688374736.6506813,19.01778462,130.54195498,29317.0
93,1688374736.9165525,19.01778462,130.54195498,29317.0
94,1688374737.1846066,19.01778462,130.54195498,29317.0
95,1688374737.523885,19.01778462,130.54195498,29317.0
96,1688374737.7344809,19.01778432,130.54195477,28623.0
97,1688374738.0038238,19.01778432,130.54195477,28623.0
98,1688374738.27413,19.01778432,130.54195477,28623.0
99,1688374738.5426521,19.01778432,130.54195477,28623.0
