,A2,A3,A4,A5
0,13.43,12.3,10.1,12.17
1,13.43,12.3,10.1,12.17
2,13.43,12.3,10.1,12.17
3,13.43,12.3,10.1,12.17
4,13.43,12.3,10.1,12.17
5,13.43,12.3,10.1,12.17
6,13.43,12.3,10.1,12.17
7,13.43,12.3,10.1,12.17
8,13.43,12.3,10.1,12.17
9,13.43,12.32,10.08,12.18
10,13.43,12.32,10.08,12.18
11,13.43,12.32,10.08,12.18
12,13.43,12.32,10.08,12.18
13,13.43,12.32,10.08,12.18
14,13.43,12.32,10.08,12.18
15,13.43,12.32,10.08,12.18
16,13.41,12.1,10.08,12.21
17,13.41,12.1,10.08,12.21
18,13.41,12.1,10.08,12.21
19,13.41,12.1,10.08,12.21
20,13.41,12.1,10.08,12.21
21,13.41,12.1,10.08,12.21
22,13.41,12.1,10.08,12.21
23,13.42,12.13,10.09,12.24
24,13.42,12.13,10.09,12.24
25,13.42,12.13,10.09,12.24
26,13.42,12.13,10.09,12.24
27,13.42,12.13,10.09,12.24
28,13.42,12.13,10.09,12.24
29,13.41,12.2,10.08,12.18
30,13.41,12.2,10.08,12.18
31,13.41,12.2,10.08,12.18
32,13.41,12.2,10.08,12.18
33,13.41,12.2,10.08,12.18
34,13.41,12.2,10.08,12.18
35,13.41,12.2,10.08,12.18
36,13.41,12.2,10.08,12.18
37,13.43,12.29,10.08,12.22
38,13.43,12.29,10.08,12.22
39,13.43,12.29,10.08,12.22
40,13.43,12.29,10.08,12.22
41,13.43,12.29,10.08,12.22
42,13.43,12.29,10.08,12.22
43,13.41,12.29,10.08,12.18
44,13.41,12.29,10.08,12.18
45,13.41,12.29,10.08,12.18
46,13.41,12.29,10.08,12.18
47,13.41,12.29,10.08,12.18
48,13.41,12.29,10.08,12.18
49,13.41,12.29,10.08,12.18
50,13.43,12.08,10.09,12.2
51,13.43,12.08,10.09,12.2
52,13.43,12.08,10.09,12.2
53,13.43,12.08,10.09,12.2
54,13.43,12.08,10.09,12.2
55,13.43,12.04,10.09,12.18
56,13.43,12.04,10.09,12.18
57,13.43,12.04,10.09,12.18
58,13.43,12.04,10.09,12.18
59,13.43,12.04,10.09,12.18
60,13.43,12.04,10.09,12.18
61,13.38,12.29,10.08,12.22
62,13.38,12.29,10.08,12.22
63,13.38,12.29,10.08,12.22
64,13.38,12.29,10.08,12.22
65,13.38,12.29,10.08,12.22
66,13.38,12.29,10.08,12.22
67,13.38,12.29,10.08,12.22
68,13.43,12.1,10.12,12.18
69,13.43,12.1,10.12,12.18
70,13.43,12.1,10.12,12.18
71,13.43,12.1,10.12,12.18
72,13.43,12.1,10.12,12.18
73,13.43,12.1,10.12,12.18
74,13.4,12.31,10.08,12.18
75,13.4,12.31,10.08,12.18
76,13.4,12.31,10.08,12.18
77,13.4,12.31,10.08,12.18
78,13.4,12.31,10.08,12.18
79,13.41,12.26,10.09,12.15
80,13.41,12.26,10.09,12.15
81,13.41,12.26,10.09,12.15
82,13.41,12.26,10.09,12.15
83,13.41,12.26,10.09,12.15
84,13.41,12.26,10.09,12.15
85,13.41,12.09,10.08,12.18
86,13.41,12.09,10.08,12.18
87,13.41,12.09,10.08,12.18
88,13.41,12.09,10.08,12.18
89,13.41,12.09,10.08,12.18
90,13.41,12.09,10.08,12.18
91,13.41,12.09,10.08,12.18
92,13.41,12.1,10.1,12.24
93,13.41,12.1,10.1,12.24
94,13.41,12.1,10.1,12.24
95,13.41,12.1,10.1,12.24
96,13.41,12.1,10.1,12.24
97,13.41,12.1,10.1,12.24
98,13.41,12.1,10.1,12.24
99,13.41,12.13,10.08,12.2
100,13.41,12.13,10.08,12.2
101,13.41,12.13,10.08,12.2
102,13.41,12.13,10.08,12.2
103,13.41,12.13,10.08,12.2
104,13.44,12.14,10.09,12.19
105,13.44,12.14,10.09,12.19
106,13.44,12.14,10.09,12.19
107,13.44,12.14,10.09,12.19
108,13.44,12.14,10.09,12.19
109,13.44,12.14,10.09,12.19
110,13.44,12.14,10.09,12.19
111,13.39,12.16,10.09,12.2
112,13.39,12.16,10.09,12.2
113,13.39,12.16,10.09,12.2
114,13.39,12.16,10.09,12.2
115,13.39,12.32,10.09,12.18
116,13.39,12.32,10.09,12.18
117,13.39,12.32,10.09,12.18
118,13.39,12.32,10.09,12.18
119,13.39,12.32,10.09,12.18
120,13.39,12.32,10.09,12.18
121,13.41,12.11,10.08,12.19
122,13.41,12.11,10.08,12.19
123,13.41,12.11,10.08,12.19
124,13.41,12.11,10.08,12.19
125,13.41,12.11,10.08,12.19
126,13.41,12.11,10.08,12.19
127,13.41,12.15,10.09,12.21
128,13.41,12.15,10.09,12.21
129,13.41,12.15,10.09,12.21
130,13.41,12.15,10.09,12.21
131,13.41,12.15,10.09,12.21
132,13.41,12.15,10.09,12.21
133,13.44,12.13,10.07,12.2
134,13.44,12.13,10.07,12.2
135,13.44,12.13,10.07,12.2
136,13.44,12.13,10.07,12.2
137,13.44,12.13,10.07,12.2
138,13.44,12.13,10.07,12.2
139,13.42,12.22,10.07,12.18
140,13.42,12.22,10.07,12.18
141,13.42,12.22,10.07,12.18
142,13.42,12.22,10.07,12.18
143,13.42,12.22,10.07,12.18
144,13.42,12.22,10.07,12.18
145,13.43,12.13,10.08,12.18
146,13.43,12.13,10.08,12.18
147,13.43,12.13,10.08,12.18
148,13.43,12.13,10.08,12.18
149,13.43,12.13,10.08,12.18
150,13.42,12.2,10.1,12.26
151,13.42,12.2,10.1,12.26
152,13.42,12.2,10.1,12.26
153,13.42,12.2,10.1,12.26
154,13.42,12.2,10.1,12.26
155,13.42,12.2,10.1,12.26
156,13.44,12.1,10.1,12.18
157,13.44,12.1,10.1,12.18
158,13.44,12.1,10.1,12.18
159,13.44,12.1,10.1,12.18
160,13.44,12.1,10.1,12.18
161,13.44,12.1,10.1,12.18
162,13.41,12.26,10.09,12.15
163,13.41,12.26,10.09,12.15
164,13.41,12.26,10.09,12.15
165,13.41,12.26,10.09,12.15
166,13.41,12.26,10.09,12.15
167,13.4,12.11,10.1,12.17
168,13.4,12.11,10.1,12.17
169,13.4,12.11,10.1,12.17
170,13.4,12.11,10.1,12.17
171,13.4,12.11,10.1,12.17
172,13.4,12.11,10.1,12.17
173,13.4,12.17,10.1,12.17
174,13.4,12.17,10.1,12.17
175,13.4,12.17,10.1,12.17
176,13.4,12.17,10.1,12.17
177,13.39,12.09,10.08,12.23
178,13.39,12.09,10.08,12.23
179,13.39,12.09,10.08,12.23
180,13.39,12.09,10.08,12.23
181,13.39,12.09,10.08,12.23
182,13.42,12.12,10.1,12.19
183,13.42,12.12,10.1,12.19
184,13.42,12.12,10.1,12.19
185,13.42,12.12,10.1,12.19
186,13.42,12.12,10.1,12.19
187,13.42,12.12,10.1,12.19
188,13.41,12.17,10.1,12.23
189,13.41,12.17,10.1,12.23
190,13.41,12.17,10.1,12.23
191,13.41,12.17,10.1,12.23
192,13.41,12.17,10.1,12.23
193,13.41,12.17,10.1,12.23
194,13.41,12.17,10.1,12.23
195,13.41,12.13,10.1,12.19
196,13.41,12.13,10.1,12.19
197,13.41,12.13,10.1,12.19
198,13.41,12.13,10.1,12.19
199,13.41,12.13,10.1,12.19
200,13.41,12.13,10.1,12.19
201,13.4,12.09,10.08,12.21
202,13.4,12.09,10.08,12.21
203,13.4,12.09,10.08,12.21
204,13.4,12.09,10.08,12.21
205,13.4,12.09,10.08,12.21
206,13.41,12.13,10.09,12.17
207,13.41,12.13,10.09,12.17
208,13.41,12.13,10.09,12.17
209,13.41,12.13,10.09,12.17
210,13.41,12.13,10.09,12.17
211,13.41,12.13,10.09,12.17
212,13.41,12.12,10.1,12.22
213,13.41,12.12,10.1,12.22
214,13.41,12.12,10.1,12.22
215,13.41,12.12,10.1,12.22
216,13.41,12.12,10.1,12.22
217,13.41,12.12,10.1,12.22
218,13.41,12.1,10.08,12.19
219,13.41,12.1,10.08,12.19
220,13.41,12.1,10.08,12.19
221,13.41,12.1,10.08,12.19
222,13.41,12.1,10.08,12.19
223,13.41,12.1,10.08,12.19
224,13.41,12.1,10.08,12.19
225,13.4,12.08,10.08,12.16
226,13.4,12.08,10.08,12.16
227,13.4,12.08,10.08,12.16
228,13.4,12.08,10.08,12.16
229,13.44,12.14,10.08,12.2
230,13.44,12.14,10.08,12.2
231,13.44,12.14,10.08,12.2
232,13.44,12.14,10.08,12.2
233,13.44,12.14,10.08,12.2
234,13.44,12.14,10.08,12.2
235,13.44,12.14,10.08,12.2
236,13.44,12.14,10.08,12.2
237,13.4,12.11,10.08,12.17
238,13.4,12.11,10.08,12.17
239,13.4,12.11,10.08,12.17
240,13.4,12.11,10.08,12.17
241,13.4,12.11,10.08,12.17
242,13.4,12.11,10.08,12.17
243,13.4,12.11,10.08,12.17
244,13.4,12.12,10.11,12.21
245,13.4,12.12,10.11,12.21
246,13.4,12.12,10.11,12.21
247,13.4,12.12,10.11,12.21
248,13.4,12.12,10.11,12.21
249,13.4,12.12,10.11,12.21
250,13.42,12.1,10.07,12.19
251,13.42,12.1,10.07,12.19
252,13.42,12.1,10.07,12.19
253,13.42,12.1,10.07,12.19
254,13.42,12.1,10.07,12.19
255,13.42,12.1,10.07,12.19
256,13.41,12.11,10.09,12.18
257,13.41,12.11,10.09,12.18
258,13.41,12.11,10.09,12.18
259,13.41,12.11,10.09,12.18
260,13.41,12.11,10.09,12.18
261,13.41,12.11,10.09,12.18
262,13.41,12.11,10.09,12.18
263,13.41,12.09,10.08,12.17
264,13.41,12.09,10.08,12.17
265,13.41,12.09,10.08,12.17
266,13.41,12.09,10.08,12.17
267,13.41,12.09,10.08,12.17
268,13.41,12.09,10.08,12.17
269,13.41,12.32,10.09,12.2
270,13.41,12.32,10.09,12.2
271,13.41,12.32,10.09,12.2
272,13.41,12.32,10.09,12.2
273,13.41,12.32,10.09,12.2
274,13.41,12.32,10.09,12.2
275,13.4,12.04,10.09,12.18
276,13.4,12.04,10.09,12.18
277,13.4,12.04,10.09,12.18
278,13.4,12.04,10.09,12.18
279,13.4,12.04,10.09,12.18
280,13.4,12.04,10.09,12.18
281,13.43,12.06,10.07,12.18
282,13.43,12.06,10.07,12.18
283,13.43,12.06,10.07,12.18
284,13.43,12.06,10.07,12.18
285,13.43,12.06,10.07,12.18
286,13.43,12.06,10.07,12.18
287,13.43,12.11,10.09,12.19
288,13.43,12.11,10.09,12.19
289,13.43,12.11,10.09,12.19
290,13.43,12.11,10.09,12.19
291,13.43,12.11,10.09,12.19
292,13.43,12.08,10.09,12.21
293,13.43,12.08,10.09,12.21
294,13.43,12.08,10.09,12.21
295,13.43,12.08,10.09,12.21
296,13.43,12.08,10.09,12.21
297,13.43,12.08,10.09,12.21
298,13.42,12.12,10.08,12.2
299,13.42,12.12,10.08,12.2
300,13.42,12.12,10.08,12.2
301,13.42,12.12,10.08,12.2
302,13.42,12.12,10.08,12.2
303,13.41,12.14,10.11,12.18
304,13.41,12.14,10.11,12.18
305,13.41,12.14,10.11,12.18
306,13.41,12.14,10.11,12.18
307,13.41,12.14,10.11,12.18
308,13.41,12.14,10.11,12.18
309,13.41,12.14,10.11,12.18
310,13.41,12.1,10.07,12.22
311,13.41,12.1,10.07,12.22
312,13.41,12.1,10.07,12.22
313,13.41,12.1,10.07,12.22
314,13.41,12.1,10.07,12.22
315,13.43,12.08,10.08,12.15
316,13.43,12.08,10.08,12.15
317,13.43,12.08,10.08,12.15
318,13.43,12.08,10.08,12.15
319,13.43,12.08,10.08,12.15
320,13.43,12.08,10.08,12.15
321,13.43,12.08,10.08,12.15
322,13.43,12.07,10.11,12.22
323,13.43,12.07,10.11,12.22
324,13.43,12.07,10.11,12.22
325,13.43,12.07,10.11,12.22
326,13.43,12.07,10.11,12.22
327,13.42,12.31,10.08,12.21
328,13.42,12.31,10.08,12.21
329,13.42,12.31,10.08,12.21
330,13.42,12.31,10.08,12.21
331,13.42,12.31,10.08,12.21
332,13.42,12.31,10.08,12.21
333,13.41,12.12,10.08,12.21
334,13.41,12.12,10.08,12.21
335,13.41,12.12,10.08,12.21
336,13.41,12.12,10.08,12.21
337,13.41,12.12,10.08,12.21
338,13.41,12.12,10.08,12.21
339,13.41,12.12,10.08,12.21
340,13.4,12.09,10.1,12.25
341,13.4,12.09,10.1,12.25
342,13.4,12.09,10.1,12.25
343,13.4,12.09,10.1,12.25
344,13.4,12.09,10.1,12.25
345,13.4,12.09,10.1,12.25
346,13.42,12.27,10.08,12.18
347,13.42,12.27,10.08,12.18
348,13.42,12.27,10.08,12.18
349,13.42,12.27,10.08,12.18
350,13.42,12.27,10.08,12.18
351,13.42,12.27,10.08,12.18
352,13.41,12.05,10.1,12.18
353,13.41,12.05,10.1,12.18
354,13.41,12.05,10.1,12.18
355,13.41,12.05,10.1,12.18
356,13.41,12.05,10.1,12.18
357,13.41,12.05,10.1,12.18
358,13.42,12.07,10.08,12.16
